,num_airplane,sref,velocity,alpha
6517,2,1.0,95,-6
13574,4,0.5,280,-4
10089,3,1.0,80,-2
12167,3,1.5,70,-4
5893,2,1.0,225,6
7530,2,1.5,285,4
6275,2,1.0,185,14
13000,4,0.5,10,-18
8761,3,0.5,265,-12
6497,2,1.0,320,-4
9951,3,1.0,40,16
13981,4,1.0,40,12
9818,3,1.0,25,2
10482,3,1.0,95,-14
16221,4,1.5,190,-2
13490,4,0.5,185,-4
14108,4,1.0,25,14
3841,1,1.5,40,18
13684,4,1.0,180,6
11837,3,1.5,45,8
15850,4,1.5,285,12
3507,1,1.5,320,-20
11866,3,1.5,190,-18
3178,1,1.5,300,-6
628,1,0.5,225,18
15876,4,1.5,90,-20
257,1,0.5,320,-10
1750,1,1.0,310,-6
1103,1,0.5,325,2
4682,2,0.5,20,20
6415,2,1.0,235,0
5416,2,0.5,115,18
4561,2,0.5,65,-12
14373,4,1.0,50,-2
10297,3,1.0,145,-6
8238,3,0.5,250,-8
13437,4,0.5,245,16
1618,1,1.0,300,-18
10334,3,1.0,330,-16
8919,3,0.5,80,10
7432,2,1.5,120,18
9267,3,0.5,195,-8
12079,3,1.5,280,-12
10057,3,1.0,245,18
694,1,0.5,230,-18
6587,2,1.0,120,8
3812,1,1.5,220,2
8662,3,0.5,95,0
14562,4,1.0,20,-2
6758,2,1.0,325,14
8433,3,0.5,250,4
13948,4,1.0,200,-12
11462,3,1.5,120,14
12071,3,1.5,240,14
8413,3,0.5,150,6
10252,3,1.0,245,-12
4792,2,0.5,245,-12
11756,3,1.5,290,14
4196,2,0.5,190,14
10772,3,1.0,245,20
5347,2,0.5,95,6
13163,4,0.5,175,14
10540,3,1.0,60,18
10372,3,1.0,195,18
1924,1,1.0,205,6
8782,3,0.5,45,-12
14906,4,1.0,115,14
2136,1,1.0,290,10
12903,4,0.5,175,-2
15056,4,1.5,215,20
6314,2,1.0,55,8
12596,4,0.5,265,14
6074,2,1.0,155,-10
2212,1,1.0,20,-6
14795,4,1.0,210,2
15524,4,1.5,280,-10
11657,3,1.5,120,-16
6066,2,1.0,115,16
1380,1,1.0,85,10
15017,4,1.5,20,-16
1807,1,1.0,270,-18
10893,3,1.0,200,10
8772,3,0.5,320,10
10762,3,1.0,195,0
9041,3,0.5,40,2
5092,2,0.5,120,0
6232,2,1.0,295,12
4565,2,0.5,85,-4
9359,3,0.5,330,8
1285,1,0.5,260,-12
12120,3,1.5,160,-14
2078,1,1.0,325,20
8352,3,0.5,170,10
12205,3,1.5,260,-12
4994,2,0.5,280,14
7477,2,1.5,20,-18
11625,3,1.5,285,4
13405,4,0.5,85,-6
14240,4,1.0,35,-16
16218,4,1.5,175,-8
12267,3,1.5,245,-14
6382,2,1.0,70,18
15353,4,1.5,75,-16
11818,3,1.5,275,12
15536,4,1.5,15,14
13431,4,0.5,215,4
11277,3,1.5,170,-20
4216,2,0.5,290,12
10225,3,1.0,110,18
1766,1,1.0,65,-16
7283,2,1.5,25,14
507,1,0.5,270,-14
10038,3,1.0,150,-20
6537,2,1.0,195,-8
829,1,0.5,255,0
15109,4,1.5,155,0
15759,4,1.5,155,-2
11267,3,1.5,120,2
570,1,0.5,260,-14
13989,4,1.0,80,-14
2092,1,1.0,70,6
3329,1,1.5,80,2
6692,2,1.0,320,8
15244,4,1.5,180,18
5371,2,0.5,215,12
11399,3,1.5,130,14
13383,4,0.5,300,-8
9466,3,0.5,215,12
12535,4,0.5,285,18
15527,4,1.5,295,-4
2509,1,1.0,205,0
1084,1,0.5,230,6
7046,2,1.5,140,2
314,1,0.5,280,20
15422,4,1.5,95,-4
16007,4,1.5,95,-10
3318,1,1.5,25,-20
15040,4,1.5,135,-12
8117,2,1.5,295,2
5991,2,1.0,65,-8
14169,4,1.0,330,10
7714,2,1.5,230,-6
584,1,0.5,330,14
5828,2,1.0,225,2
9174,3,0.5,55,16
704,1,0.5,280,2
3404,1,1.5,130,-16
6541,2,1.0,215,0
5214,2,0.5,80,-8
7086,2,1.5,15,-2
9787,3,1.0,195,-18
13147,4,0.5,95,-18
11415,3,1.5,210,4
12281,3,1.5,315,14
7348,2,1.5,25,18
13992,4,1.0,95,-8
1364,1,0.5,330,20
11740,3,1.5,210,-18
6736,2,1.0,215,12
13072,4,0.5,45,0
9043,3,0.5,50,6
9786,3,1.0,190,-20
5797,2,1.0,70,-18
5848,2,1.0,325,0
1086,1,0.5,240,10
15248,4,1.5,200,-16
7459,2,1.5,255,-12
6485,2,1.0,260,14
13388,4,0.5,325,2
15552,4,1.5,95,4
3053,1,1.5,325,-4
10952,3,1.5,170,2
10234,3,1.0,155,-6
4591,2,0.5,215,6
4170,2,0.5,60,4
9850,3,1.0,185,-18
13900,4,1.0,285,18
3001,1,1.5,65,18
8844,3,0.5,30,-14
3900,1,1.5,10,10
3479,1,1.5,180,8
10483,3,1.0,100,-12
10904,3,1.0,255,-10
5924,2,1.0,55,-16
12900,4,0.5,160,-8
1730,1,1.0,210,-4
13196,4,0.5,15,-4
16028,4,1.5,200,-10
2570,1,1.0,185,-4
1114,1,0.5,55,-18
8612,3,0.5,170,-16
2514,1,1.0,230,10
11330,3,1.5,110,2
139,1,0.5,55,6
4696,2,0.5,90,6
10227,3,1.0,120,-20
12139,3,1.5,255,-18
2927,1,1.5,20,-4
10413,3,1.0,75,16
3384,1,1.5,30,-14
6034,2,1.0,280,-6
4823,2,0.5,75,8
3066,1,1.5,65,-20
5470,2,1.0,60,0
15927,4,1.5,20,-2
3859,1,1.5,130,12
14648,4,1.0,125,2
12204,3,1.5,255,-14
4882,2,0.5,45,0
13137,4,0.5,45,4
5428,2,0.5,175,0
4473,2,0.5,275,-20
13326,4,0.5,15,4
2316,1,1.0,215,-8
4190,2,0.5,160,2
3931,1,1.5,165,-12
8546,3,0.5,165,20
10690,3,1.0,160,-18
12521,4,0.5,215,-10
15909,4,1.5,255,4
13778,4,1.0,325,-16
3822,1,1.5,270,-20
7986,2,1.5,290,-8
6153,2,1.0,225,-20
6839,2,1.5,80,8
11190,3,1.5,60,16
7727,2,1.5,295,20
3811,1,1.5,215,0
12250,3,1.5,160,-6
10475,3,1.0,60,14
5042,2,0.5,195,-16
12313,4,0.5,150,-6
7583,2,1.5,225,-16
11482,3,1.5,220,12
8536,3,0.5,115,0
605,1,0.5,110,14
12330,4,0.5,235,-14
5035,2,0.5,160,12
8124,2,1.5,330,16
4021,1,1.5,290,0
120,1,0.5,285,10
16295,4,1.5,235,20
4491,2,0.5,40,16
1174,1,0.5,30,18
2321,1,1.0,240,2
4272,2,0.5,245,-2
7381,2,1.5,190,0
12497,4,0.5,95,-16
15505,4,1.5,185,-6
286,1,0.5,140,6
8995,3,0.5,135,-6
2578,1,1.0,225,12
4048,1,1.5,100,12
2576,1,1.0,215,8
6723,2,1.0,150,-14
8225,3,0.5,185,8
30,1,0.5,160,-2
14637,4,1.0,70,-20
16196,4,1.5,65,-10
8086,2,1.5,140,-18
12871,4,0.5,15,18
9097,3,0.5,320,-12
15518,4,1.5,250,20
2907,1,1.5,245,-2
2351,1,1.0,65,20
1050,1,0.5,60,-20
8679,3,0.5,180,-8
3727,1,1.5,120,0
13036,4,0.5,190,12
9201,3,0.5,190,-14
1226,1,0.5,290,-4
16137,4,1.5,95,-2
10786,3,1.0,315,6
2457,1,1.0,270,-20
6729,2,1.0,180,-2
13347,4,0.5,120,4
11768,3,1.5,25,-4
12585,4,0.5,210,-8
9054,3,0.5,105,-14
2587,1,1.0,270,-12
10524,3,1.0,305,-14
8645,3,0.5,10,8
14269,4,1.0,180,0
451,1,0.5,315,0
10689,3,1.0,155,-20
10515,3,1.0,260,10
9046,3,0.5,65,12
10701,3,1.0,215,4
2102,1,1.0,120,-16
8544,3,0.5,155,16
2120,1,1.0,210,20
1022,1,0.5,245,8
5528,2,1.0,25,-10
2893,1,1.5,175,12
13983,4,1.0,50,16
12303,4,0.5,100,16
8441,3,0.5,290,20
11612,3,1.5,220,20
3518,1,1.5,50,2
1921,1,1.0,190,0
5179,2,0.5,230,6
751,1,0.5,190,12
12440,4,0.5,135,-4
13004,4,0.5,30,-10
2657,1,1.0,295,2
7232,2,1.5,95,-4
11434,3,1.5,305,0
10658,3,1.0,325,2
7049,2,1.5,155,8
6616,2,1.0,265,-18
7309,2,1.5,155,-18
4253,2,0.5,150,2
904,1,0.5,305,-18
9089,3,0.5,280,14
12147,3,1.5,295,-2
989,1,0.5,80,-16
3964,1,1.5,330,12
5242,2,0.5,220,6
2333,1,1.0,300,-16
3823,1,1.5,275,-18
13891,4,1.0,240,0
1964,1,1.0,80,2
11715,3,1.5,85,16
7298,2,1.5,100,2
13081,4,0.5,90,18
14514,4,1.0,105,-14
6998,2,1.5,225,-10
14437,4,1.0,45,0
13439,4,0.5,255,20
13557,4,0.5,195,4
1203,1,0.5,175,-8
2058,1,1.0,225,-20
6432,2,1.0,320,-8
8620,3,0.5,210,0
4878,2,0.5,25,-8
3483,1,1.5,200,16
11164,3,1.5,255,6
15736,4,1.5,40,-6
15842,4,1.5,245,-4
5626,2,1.0,190,18
7752,2,1.5,95,-14
14781,4,1.0,140,16
3283,1,1.5,175,-6
9280,3,0.5,260,18
16325,4,1.5,60,-4
15632,4,1.5,170,-4
13997,4,1.0,120,2
14405,4,1.0,210,20
7209,2,1.5,305,-8
14877,4,1.0,295,-2
8508,3,0.5,300,-14
12684,4,0.5,55,-20
1366,1,1.0,15,-18
15028,4,1.5,75,6
1402,1,1.0,195,12
461,1,0.5,40,20
16223,4,1.5,200,2
11100,3,1.5,260,4
15579,4,1.5,230,16
5895,2,1.0,235,10
1738,1,1.0,250,12
10794,3,1.0,30,-20
2015,1,1.0,10,20
2274,1,1.0,330,-8
8442,3,0.5,295,-20
12351,4,0.5,15,-14
2754,1,1.5,130,-14
6118,2,1.0,50,-6
12178,3,1.5,125,18
4741,2,0.5,315,12
14051,4,1.0,65,-16
11489,3,1.5,255,-16
4913,2,0.5,200,20
15157,4,1.5,70,12
2607,1,1.0,45,-14
2174,1,1.0,155,2
11175,3,1.5,310,-14
5712,2,1.0,295,-20
8237,3,0.5,245,-10
31,1,0.5,165,0
1770,1,1.0,85,-8
7555,2,1.5,85,12
15940,4,1.5,85,-18
6603,2,1.0,200,-2
15035,4,1.5,110,20
9603,3,1.0,250,-8
2951,1,1.5,140,2
1953,1,1.0,25,-20
14467,4,1.0,195,18
16165,4,1.5,235,12
10847,3,1.0,295,2
3081,1,1.5,140,10
14777,4,1.0,120,8
2012,1,1.0,320,14
4467,2,0.5,245,10
13240,4,0.5,235,0
5479,2,1.0,105,18
8368,3,0.5,250,0
12578,4,0.5,175,20
10740,3,1.0,85,-2
8342,3,0.5,120,-10
6994,2,1.5,205,-18
11266,3,1.5,115,0
3398,1,1.5,100,14
5098,2,0.5,150,12
7807,2,1.5,45,12
1941,1,1.0,290,-2
12562,4,0.5,95,-12
13495,4,0.5,210,6
3180,1,1.5,310,-2
15756,4,1.5,140,-8
9244,3,0.5,80,-12
15332,4,1.5,295,-16
7284,2,1.5,30,16
12263,3,1.5,225,20
11783,3,1.5,100,-16
15199,4,1.5,280,12
2268,1,1.0,300,-20
9165,3,0.5,10,-2
4417,2,0.5,320,-6
12329,4,0.5,230,-16
7779,2,1.5,230,-2
9609,3,1.0,280,4
15233,4,1.5,125,-4
12667,4,0.5,295,-12
13966,4,1.0,290,-18
5149,2,0.5,80,-12
5283,2,0.5,100,4
15662,4,1.5,320,14
8018,2,1.5,125,14
272,1,0.5,70,20
11956,3,1.5,315,-6
2107,1,1.0,145,-6
831,1,0.5,265,4
7136,2,1.5,265,14
7633,2,1.5,150,0
7156,2,1.5,40,12
70,1,0.5,35,-6
14007,4,1.0,170,-20
15261,4,1.5,265,10
10728,3,1.0,25,16
15845,4,1.5,260,2
10200,3,1.0,310,10
3133,1,1.5,75,-12
7917,2,1.5,270,-20
7470,2,1.5,310,10
5405,2,0.5,60,-4
3093,1,1.5,200,-8
8810,3,0.5,185,2
2519,1,1.0,255,20
8028,2,1.5,175,-8
5957,2,1.0,220,8
8721,3,0.5,65,-8
14287,4,1.0,270,-6
12356,4,0.5,40,-4
8477,3,0.5,145,8
13727,4,1.0,70,8
4788,2,0.5,225,-20
288,1,0.5,150,10
7975,2,1.5,235,12
738,1,0.5,125,-14
12315,4,0.5,160,-2
4076,1,1.5,240,-16
6368,2,1.0,325,-10
11044,3,1.5,305,18
5305,2,0.5,210,6
3250,1,1.5,10,12
9062,3,0.5,145,2
5438,2,0.5,225,20
15721,4,1.5,290,6
10237,3,1.0,170,0
11820,3,1.5,285,16
2584,1,1.0,255,-18
9367,3,0.5,45,-18
9684,3,1.0,330,-14
444,1,0.5,280,-14
16333,4,1.5,100,12
4080,1,1.5,260,-8
7166,2,1.5,90,-10
13511,4,0.5,290,-4
10422,3,1.0,120,-8
7670,2,1.5,10,-10
8542,3,0.5,145,12
7965,2,1.5,185,-8
13140,4,0.5,60,10
26,1,0.5,140,-10
14315,4,1.0,85,8
15672,4,1.5,45,-8
15953,4,1.5,150,8
12358,4,0.5,50,0
10562,3,1.0,170,20
15791,4,1.5,315,20
15699,4,1.5,180,4
4103,2,0.5,50,-4
15130,4,1.5,260,0
9066,3,0.5,165,10
15517,4,1.5,245,18
7472,2,1.5,320,14
3075,1,1.5,110,-2
13746,4,1.0,165,4
12419,4,0.5,30,-4
11388,3,1.5,75,-8
805,1,0.5,135,-6
11975,3,1.5,85,-10
14332,4,1.0,170,0
12185,3,1.5,160,-10
2242,1,1.0,170,12
3548,1,1.5,200,20
6244,2,1.0,30,-6
5304,2,0.5,205,4
14975,4,1.0,135,-16
5251,2,0.5,265,-18
2024,1,1.0,55,-4
7217,2,1.5,20,8
1627,1,1.0,20,0
8204,3,0.5,80,8
7443,2,1.5,175,-2
13687,4,1.0,195,12
6463,2,1.0,150,12
14292,4,1.0,295,4
10536,3,1.0,40,10
3784,1,1.5,80,-12
6535,2,1.0,185,-12
12818,4,0.5,75,-4
13801,4,1.0,115,-12
10133,3,1.0,300,2
5720,2,1.0,10,-4
8895,3,0.5,285,4
343,1,0.5,100,-6
7766,2,1.5,165,14
7510,2,1.5,185,6
1351,1,0.5,265,-6
12544,4,0.5,330,-6
5128,2,0.5,300,-12
7994,2,1.5,330,8
12902,4,0.5,170,-4
3552,1,1.5,220,-14
7227,2,1.5,70,-14
7063,2,1.5,225,-6
2650,1,1.0,260,-12
947,1,0.5,195,-16
13882,4,1.0,195,-18
8793,3,0.5,100,10
14864,4,1.0,230,14
1089,1,0.5,255,16
2610,1,1.0,60,-8
1347,1,0.5,245,-14
5302,2,0.5,195,0
11707,3,1.5,45,0
8711,3,0.5,15,14
736,1,0.5,115,-18
4517,2,0.5,170,-16
5977,2,1.0,320,6
8715,3,0.5,35,-20
7095,2,1.5,60,16
13526,4,0.5,40,-16
10090,3,1.0,85,0
1650,1,1.0,135,4
7073,2,1.5,275,14
13339,4,0.5,80,-12
3691,1,1.5,265,12
13238,4,0.5,225,-4
8274,3,0.5,105,-20
12966,4,0.5,165,-2
9479,3,0.5,280,-4
14105,4,1.0,10,8
13902,4,1.0,295,-20
12107,3,1.5,95,2
13318,4,0.5,300,-12
176,1,0.5,240,-4
3694,1,1.5,280,18
7171,2,1.5,115,0
11682,3,1.5,245,-8
109,1,0.5,230,-12
145,1,0.5,85,18
13620,4,0.5,185,4
2250,1,1.0,210,-14
11689,3,1.5,280,6
15733,4,1.5,25,-12
1653,1,1.0,150,10
15020,4,1.5,35,-10
15115,4,1.5,185,12
5185,2,0.5,260,18
485,1,0.5,160,-16
10389,3,1.0,280,10
4984,2,0.5,230,-6
9997,3,1.0,270,-18
12024,3,1.5,330,4
15515,4,1.5,235,14
3042,1,1.5,270,16
13917,4,1.0,45,10
14046,4,1.0,40,16
5745,2,1.0,135,4
1742,1,1.0,270,20
5081,2,0.5,65,20
6957,2,1.5,20,-8
6531,2,1.0,165,-20
7847,2,1.5,245,8
4909,2,0.5,180,12
8451,3,0.5,15,-2
8866,3,0.5,140,-12
15688,4,1.5,125,-18
7597,2,1.5,295,12
13043,4,0.5,225,-16
16083,4,1.5,150,16
9528,3,0.5,200,10
11155,3,1.5,210,-12
10408,3,1.0,50,6
15390,4,1.5,260,16
15381,4,1.5,215,-2
5133,2,0.5,325,-2
11771,3,1.5,40,2
8833,3,0.5,300,6
480,1,0.5,135,16
10040,3,1.0,160,-16
14699,4,1.0,55,20
14601,4,1.0,215,-8
6756,2,1.0,315,10
14421,4,1.0,290,10
10275,3,1.0,35,-8
12148,3,1.5,300,0
2186,1,1.0,215,-16
9144,3,0.5,230,-2
9320,3,0.5,135,14
14419,4,1.0,280,6
10685,3,1.0,135,14
15222,4,1.5,70,16
2793,1,1.5,325,-20
11387,3,1.5,70,-10
712,1,0.5,320,18
5544,2,1.0,105,-20
5830,2,1.0,235,6
10943,3,1.5,125,-16
5182,2,0.5,245,12
14030,4,1.0,285,-16
2190,1,1.0,235,-8
13953,4,1.0,225,-2
11854,3,1.5,130,0
4352,2,0.5,320,-10
12621,4,0.5,65,-20
4052,1,1.5,120,20
14369,4,1.0,30,-10
15990,4,1.5,10,-2
10687,3,1.0,145,18
6371,2,1.0,15,-4
7285,2,1.5,35,18
2005,1,1.0,285,0
236,1,0.5,215,-10
1284,1,0.5,255,-14
11858,3,1.5,150,8
11473,3,1.5,175,-6
11182,3,1.5,20,0
12913,4,0.5,225,18
6726,2,1.0,165,-8
12475,4,0.5,310,-18
12991,4,0.5,290,6
12949,4,0.5,80,6
3434,1,1.5,280,2
11641,3,1.5,40,-6
3350,1,1.5,185,2
1792,1,1.0,195,-6
9497,3,0.5,45,-10
4151,2,0.5,290,8
2216,1,1.0,40,2
15054,4,1.5,205,16
10882,3,1.0,145,-12
15871,4,1.5,65,12
15032,4,1.5,95,14
7688,2,1.5,100,-16
183,1,0.5,275,10
13699,4,1.0,255,-6
9537,3,0.5,245,-14
12410,4,0.5,310,20
16033,4,1.5,225,0
8907,3,0.5,20,-14
13805,4,1.0,135,-4
8224,3,0.5,180,6
11209,3,1.5,155,12
13332,4,0.5,45,16
4835,2,0.5,135,-10
7538,2,1.5,325,20
16043,4,1.5,275,20
360,1,0.5,185,-14
7174,2,1.5,130,6
7220,2,1.5,35,14
12326,4,0.5,215,20
11444,3,1.5,30,20
5838,2,1.0,275,-20
12659,4,0.5,255,14
12690,4,0.5,85,-8
3848,1,1.5,75,-10
2711,1,1.0,240,-16
254,1,0.5,305,-16
4321,2,0.5,165,12
15702,4,1.5,195,10
8511,3,0.5,315,-8
12181,3,1.5,140,-18
10314,3,1.0,230,-14
13555,4,0.5,185,0
4482,2,0.5,320,-2
12468,4,0.5,275,10
5954,2,1.0,205,2
14861,4,1.0,215,8
11188,3,1.5,50,12
8831,3,0.5,290,2
9813,3,1.0,325,-8
14458,4,1.0,150,0
2246,1,1.0,190,20
13667,4,1.0,95,14
15170,4,1.5,135,-4
6390,2,1.0,110,-8
173,1,0.5,225,-10
8287,3,0.5,170,6
327,1,0.5,20,4
11615,3,1.5,235,-16
5631,2,1.0,215,-14
839,1,0.5,305,20
14325,4,1.0,135,-14
331,1,0.5,40,12
14586,4,1.0,140,4
8920,3,0.5,85,12
4186,2,0.5,140,-6
9460,3,0.5,185,0
13025,4,0.5,135,-10
8159,2,1.5,180,2
8045,2,1.5,260,-16
8266,3,0.5,65,6
1397,1,1.0,170,2
11702,3,1.5,20,-10
10289,3,1.0,105,20
1914,1,1.0,155,-14
12510,4,0.5,160,10
5983,2,1.0,25,18
1113,1,0.5,50,-20
4526,2,0.5,215,2
14179,4,1.0,55,-12
15501,4,1.5,165,-14
16302,4,1.5,270,-8
3914,1,1.5,80,-4
13399,4,0.5,55,-18
14176,4,1.0,40,-18
8842,3,0.5,20,-18
6589,2,1.0,130,12
9804,3,1.0,280,16
11126,3,1.5,65,14
5408,2,0.5,75,2
3560,1,1.5,260,2
5570,2,1.0,235,-10
4674,2,0.5,305,4
9545,3,0.5,285,2
10508,3,1.0,225,-4
4202,2,0.5,220,-16
